Acronym,Meaning,Area/Division,See Also,Link,PhotoURL
SPOC,Single Point of Contact,,,,
SPP,Settlement Plate Point,,,,
SSC,Shared Services Canada,,,,
SSCDDM,"Safety, Security & Contracts Deputy Design Manager",,,,
SSM,Select Subgrade Material,,,,
SUE,Subsurface Utility Engineering,,,,
Switch Gear,Electric Power System,,,,
SWP,Safe Work Plan,,,,
TCIR,Total Case Incident Rate,,,,
TDDM,Techinical Deputy Design Manager,,,,
TERS,Temporary Earth Retention Structure,,,,
TDG,Transportation of Dangerous Goods,,,,
TL,Task Lead,,,,
TPO,Thermoplastic olefin (used for roofs),,,,
TRA,Threat and Risk Assessment,,,,
TRIR,Total Recordable Injury Rate,,,,
TSSA,Technical Standards and Safety Authority,,,,
TTCP,Temporary Traffic Control Plan,,,,
TWG,Technical Working Group,,,,
UMP,Utility Monitoring Point (attached directly to the utility),,,,
USGBC,U.S. Green Building Council,,,,
VOIP,Voice over Internet Protocol,,,,
VWP,Vibrating Wire Piezometer,,,,
WKDWG,Working Drawing,,,,
LOA,Limit of Approach (powerline safe work areas),,,,
conco,contract change order,,,,
mecp,ministry of environment conservation & parks,,,,
erca,essex region conservation authority,,,,
GLB,"Grade Level Box - also ""pull box""",,"PED, PB",,
ZOI,Zone of Influence,,,,
PIP,Protect in Place,,,,
EIT,Engineer in Training,,,,
PMP,Project Management Professional,,,,
P3,Public Private Partnership,,,,
JV,Joint Venture,,,,
CSW,Concrete Sidewalk,locates,,,
CL,Curb Line (SCL would be South Curb Line),locates,,,
DW,Driveway,locates,,,
ACP,Asphalt Concrete Pavement,road construction,,,
POE,Point (or Port) of Entry,,,,
SL,Street Light,locates,,,
GM,gas main,locates,,,
ADA,americans w disabilities act - general ADA references the yellow 'lego-like' sidewalk plates,road construction,,,
ASPH,Asphalt Concrete Pavement,,,,
BIM,Buildling Information Modelling,,,,
CA,construction Administration,,,,
C.C.,Center to Center,,,,
INVERT,,,,,
CPM,Critical Path Method,,,,
DIA,Diameter,,,,
DS,Drilled Shaft,,,,
ID,inside diameter,,,,
OD,outside diameter,,,,
TCP,Traffic Control Plan,,,,
STA,Station,,,,
TYP,Typical,,,,
